anchor_text_norm	slug	label	node_type
§ 27	cf-1988-art-100-par-27	§ 27	paragrafo
§ 27o	cf-1988-art-100-par-27	§ 27	paragrafo
§ 28	cf-1988-art-100-par-28	§ 28	paragrafo
§ 28o	cf-1988-art-100-par-28	§ 28	paragrafo
§ 29	cf-1988-art-100-par-29	§ 29	paragrafo
§ 29o	cf-1988-art-100-par-29	§ 29	paragrafo
§ 2o	cf-1988-art-134-par-2	§ 2	paragrafo
§ 3	cf-1988-art-134-par-3	§ 3	paragrafo
§ 30	cf-1988-art-100-par-30	§ 30	paragrafo
§ 30o	cf-1988-art-100-par-30	§ 30	paragrafo
§ 3o	cf-1988-art-134-par-3	§ 3	paragrafo
§ 4	cf-1988-art-134-par-4	§ 4	paragrafo
§ 4o	cf-1988-art-134-par-4	§ 4	paragrafo
§ 5	cf-1988-art-134-par-5	§ 5	paragrafo
